Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,19.070000,19.740000,18.635000,19.070000,19.070000,9644800
2022-06-27,19.010000,19.410000,18.448000,19.230000,19.230000,1901000
2022-06-28,19.160000,19.372000,18.070000,18.309999,18.309999,1474500
2022-06-29,18.340000,18.340000,17.330000,17.799999,17.799999,1465100
2022-06-30,17.549999,18.420000,17.260000,18.260000,18.260000,2537800
2022-07-01,18.520000,19.250000,18.146999,19.150000,19.150000,1658700
2022-07-05,18.930000,20.075001,18.525000,20.059999,20.059999,1935300
2022-07-06,20.280001,20.600000,19.655001,19.809999,19.809999,3587000
2022-07-07,19.930000,20.760000,19.450001,19.570000,19.570000,4271400
2022-07-08,19.000000,19.990000,18.830000,19.940001,19.940001,2517100
2022-07-11,19.790001,19.990000,18.295000,18.420000,18.420000,2607500
2022-07-12,18.440001,19.350000,18.010000,19.299999,19.299999,2363000
2022-07-13,18.620001,19.590000,18.260000,19.290001,19.290001,1446500
2022-07-14,18.920000,19.120001,18.280001,18.690001,18.690001,1250900
2022-07-15,18.990000,19.260000,18.320000,19.120001,19.120001,1326700
2022-07-18,19.990000,20.490000,19.180000,19.320000,19.320000,1282800
2022-07-19,19.530001,19.910000,19.260000,19.629999,19.629999,1133200
2022-07-20,19.830000,20.889999,19.570000,20.650000,20.650000,2846600
2022-07-21,20.440001,21.469999,20.191000,21.459999,21.459999,2296400
2022-07-22,21.400000,21.400000,18.379999,18.500000,18.500000,3669900
2022-07-25,18.360001,18.520000,17.850000,18.500000,18.500000,1548500
2022-07-26,18.219999,18.219999,17.420000,17.480000,17.480000,1475800
2022-07-27,17.920000,18.427999,17.559999,18.309999,18.309999,1326600
2022-07-28,18.200001,18.700001,17.700001,18.540001,18.540001,1170700
2022-07-29,18.559999,18.875000,18.129999,18.410000,18.410000,1133300
2022-08-01,18.250000,18.910000,17.850000,18.709999,18.709999,1047400
2022-08-02,18.410000,19.709999,18.350000,19.469999,19.469999,1448700
2022-08-03,19.870001,20.861000,19.760000,20.660000,20.660000,1413500
2022-08-04,20.629999,20.990000,20.332001,20.860001,20.860001,1267600
2022-08-05,20.320000,21.680000,19.875000,21.340000,21.340000,1619100
2022-08-08,21.379999,22.740000,21.379999,22.170000,22.170000,1824500
2022-08-09,21.690001,21.980000,21.030001,21.350000,21.350000,1402900
2022-08-10,22.480000,22.740000,21.966000,22.670000,22.670000,1633900
2022-08-11,23.219999,23.584000,22.121000,22.330000,22.330000,1500500
2022-08-12,22.510000,22.980000,22.080000,22.809999,22.809999,1421000
2022-08-15,22.440001,23.040001,22.150000,22.330000,22.330000,1465800
2022-08-16,22.240000,22.580000,21.629999,22.410000,22.410000,1443000
2022-08-17,21.809999,22.219999,21.299999,21.920000,21.920000,1453100
2022-08-18,21.900000,21.900000,21.350000,21.730000,21.730000,1199400
2022-08-19,21.219999,21.219999,19.639999,19.799999,19.799999,2580100
2022-08-22,19.500000,19.500000,18.730000,19.110001,19.110001,1469000
2022-08-23,19.160000,20.080000,19.090000,19.250000,19.250000,1203600
2022-08-24,19.330000,20.340000,19.330000,19.660000,19.660000,1030600
2022-08-25,20.000000,20.420000,19.820000,19.889999,19.889999,1375200
2022-08-26,19.900000,19.930000,18.650000,18.820000,18.820000,1547900
2022-08-29,18.340000,19.150000,18.309999,18.540001,18.540001,1199300
2022-08-30,18.940001,19.040001,18.260000,18.410000,18.410000,1372100
2022-08-31,18.570000,18.879999,17.860001,18.000000,18.000000,3578500
2022-09-01,15.350000,15.860000,14.040000,14.520000,14.520000,12493200
2022-09-02,14.420000,15.110000,14.245000,14.510000,14.510000,4528400
2022-09-06,14.430000,14.600000,14.030000,14.290000,14.290000,3202400
2022-09-07,14.280000,14.820000,14.040000,14.670000,14.670000,2539600
2022-09-08,14.410000,14.697000,14.170000,14.580000,14.580000,2397900
2022-09-09,14.890000,15.300000,14.860000,15.020000,15.020000,2123800
2022-09-12,15.130000,15.510000,15.130000,15.410000,15.410000,1710500
2022-09-13,14.540000,15.110000,14.510000,14.710000,14.710000,2115000
2022-09-14,14.750000,14.980000,14.220000,14.950000,14.950000,1808700
2022-09-15,14.780000,15.180000,14.720000,14.780000,14.780000,1855300
2022-09-16,14.420000,14.569000,14.010000,14.030000,14.030000,3218900
2022-09-19,14.000000,14.140000,13.700000,14.030000,14.030000,1877500
2022-09-20,13.810000,13.970000,13.410000,13.440000,13.440000,2539800
2022-09-21,13.550000,13.930000,13.260000,13.350000,13.350000,1825800
2022-09-22,13.330000,13.580000,13.050000,13.140000,13.140000,1528000
2022-09-23,13.000000,13.205000,12.810000,13.150000,13.150000,1602500
2022-09-26,13.080000,13.800000,12.760000,12.770000,12.770000,1558500
2022-09-27,13.050000,13.335000,12.740000,12.930000,12.930000,1586300
2022-09-28,12.940000,13.130000,12.800000,12.960000,12.960000,2603300
2022-09-29,12.770000,12.800000,12.140000,12.340000,12.340000,2087700
2022-09-30,12.290000,12.890000,12.220000,12.500000,12.500000,1353700
2022-10-03,12.600000,12.900000,12.350000,12.870000,12.870000,1403700
2022-10-04,13.230000,13.670000,13.120000,13.600000,13.600000,1845400
2022-10-05,13.240000,13.585000,12.930000,13.490000,13.490000,1015900
2022-10-06,13.480000,13.835000,13.170000,13.340000,13.340000,774500
2022-10-07,12.970000,12.970000,12.345000,12.540000,12.540000,1261500
2022-10-10,12.550000,12.570000,12.091000,12.190000,12.190000,1413900
2022-10-11,12.180000,12.320000,11.809000,12.000000,12.000000,2046200
2022-10-12,12.080000,12.210000,11.650000,11.930000,11.930000,1089900
2022-10-13,11.540000,12.370000,11.290000,12.170000,12.170000,1787100
2022-10-14,12.450000,12.643000,11.690000,11.710000,11.710000,1178300
2022-10-17,12.020000,12.530000,12.020000,12.300000,12.300000,1224000
2022-10-18,12.790000,13.020000,12.410000,12.540000,12.540000,1333900
2022-10-19,12.330000,12.610000,12.100000,12.200000,12.200000,1075500
2022-10-20,12.130000,12.910000,12.060000,12.460000,12.460000,1142200
2022-10-21,12.350000,12.680000,12.110000,12.560000,12.560000,989600
2022-10-24,12.550000,12.550000,12.150000,12.320000,12.320000,1185600
2022-10-25,12.480000,12.870000,12.380000,12.760000,12.760000,1917700
2022-10-26,12.660000,13.569000,12.470000,12.860000,12.860000,2010800
2022-10-27,12.990000,13.280000,12.780000,12.840000,12.840000,1058700
2022-10-28,12.780000,13.150000,12.550000,13.140000,13.140000,1035300
2022-10-31,13.020000,13.270000,12.850000,13.110000,13.110000,984900
2022-11-01,13.410000,13.600000,12.900000,12.920000,12.920000,973900
2022-11-02,12.900000,12.980000,12.245000,12.300000,12.300000,1291900
2022-11-03,12.170000,12.631000,12.110000,12.240000,12.240000,1086300
2022-11-04,12.370000,12.500000,11.710000,12.090000,12.090000,1311500
2022-11-07,12.150000,12.440000,11.780000,12.430000,12.430000,1024400
2022-11-08,12.500000,13.070000,12.260000,12.640000,12.640000,1301400
2022-11-09,12.370000,12.370000,11.710000,11.920000,11.920000,1413300
2022-11-10,12.650000,13.830000,12.590000,13.650000,13.650000,2174900
2022-11-11,13.620000,14.970000,13.535000,14.960000,14.960000,2109200
2022-11-14,14.740000,14.910000,13.920000,13.970000,13.970000,1391200
2022-11-15,14.500000,14.790000,14.220000,14.290000,14.290000,1392100
2022-11-16,14.170000,14.170000,13.265000,13.550000,13.550000,1444800
2022-11-17,13.200000,13.460000,12.900000,13.360000,13.360000,1045800
2022-11-18,13.710000,13.735000,12.719000,12.770000,12.770000,1234400
2022-11-21,12.560000,12.620000,12.045000,12.260000,12.260000,1553000
2022-11-22,12.160000,12.405000,11.850000,12.340000,12.340000,1161800
2022-11-23,12.400000,12.735000,12.150000,12.690000,12.690000,872800
2022-11-25,12.570000,12.710000,12.420000,12.610000,12.610000,341800
2022-11-28,12.460000,12.680000,12.270000,12.380000,12.380000,683500
2022-11-29,12.450000,12.598000,12.190000,12.250000,12.250000,775300
2022-11-30,12.260000,13.010000,12.135000,13.010000,13.010000,949500
2022-12-01,12.930000,13.350000,12.810000,13.260000,13.260000,1483300
2022-12-02,12.910000,13.398000,12.730000,13.320000,13.320000,983200
2022-12-05,13.210000,13.265000,12.320000,12.560000,12.560000,1223900
2022-12-06,12.520000,12.590000,11.880000,11.990000,11.990000,1336200
2022-12-07,11.940000,12.520000,11.700000,11.980000,11.980000,4706200
2022-12-08,12.010000,13.510000,11.500000,12.900000,12.900000,5983700
2022-12-09,12.730000,13.230000,12.180000,12.200000,12.200000,2110200
2022-12-12,12.230000,13.560000,12.200000,13.200000,13.200000,3473000
2022-12-13,14.070000,14.110000,12.865000,13.210000,13.210000,2628500
2022-12-14,13.160000,13.359000,12.800000,13.040000,13.040000,1882600
2022-12-15,12.690000,12.930000,12.370000,12.430000,12.430000,1702100
2022-12-16,12.310000,12.665000,12.160000,12.620000,12.620000,3093800
2022-12-19,12.590000,12.760000,11.995000,12.140000,12.140000,1594200
2022-12-20,11.940000,12.035000,11.665000,11.900000,11.900000,1950900
2022-12-21,12.000000,12.050000,11.700000,11.790000,11.790000,2180500
2022-12-22,11.600000,11.600000,10.650000,11.040000,11.040000,2866700
2022-12-23,10.940000,10.948000,10.600000,10.900000,10.900000,1595000
2022-12-27,10.710000,10.740000,10.330000,10.400000,10.400000,2115200
2022-12-28,10.370000,10.480000,10.160000,10.260000,10.260000,1683700
2022-12-29,10.280000,11.030000,10.200000,10.900000,10.900000,2348100
2022-12-30,10.640000,11.230000,10.640000,11.190000,11.190000,1648300
2023-01-03,11.430000,11.540000,10.812000,11.070000,11.070000,1491700
2023-01-04,11.360000,11.420000,11.070000,11.340000,11.340000,1354700
2023-01-05,11.180000,11.180000,10.800000,10.810000,10.810000,1269400
2023-01-06,10.850000,11.000000,10.475000,10.950000,10.950000,1194100
2023-01-09,11.180000,11.680000,11.120000,11.230000,11.230000,2104600
2023-01-10,11.250000,11.486000,11.080000,11.380000,11.380000,1594700
2023-01-11,11.530000,12.000000,11.490000,11.900000,11.900000,2414300
2023-01-12,12.000000,12.072000,11.639000,12.050000,12.050000,2271100
2023-01-13,11.820000,12.650000,11.730000,12.650000,12.650000,2039300
2023-01-17,12.750000,13.440000,12.430000,13.330000,13.330000,3037600
2023-01-18,13.570000,14.170000,13.170000,13.180000,13.180000,2699900
2023-01-19,13.020000,13.250000,12.640000,13.100000,13.100000,2355300
2023-01-20,13.290000,13.772000,13.170000,13.540000,13.540000,2323900
2023-01-23,13.690000,14.550000,13.450000,14.540000,14.540000,3448400
2023-01-24,14.370000,15.420000,14.190000,14.520000,14.520000,2504400
2023-01-25,14.100000,14.650000,13.710000,14.650000,14.650000,1977700
2023-01-26,14.990000,15.350000,14.330000,15.080000,15.080000,3046000
2023-01-27,15.220000,18.180000,15.090000,17.770000,17.770000,23644500
2023-01-30,17.700001,18.110001,16.205000,16.299999,16.299999,11645800
2023-01-31,17.709999,21.340000,17.469999,19.850000,19.850000,63020200
2023-02-01,19.980000,22.170000,19.200001,21.680000,21.680000,37053100
2023-02-02,22.580000,23.469999,21.280001,21.920000,21.920000,29316700
2023-02-03,21.340000,28.480000,21.120001,25.879999,25.879999,71831500
2023-02-06,27.459999,30.920000,25.879999,27.549999,27.549999,104104100
2023-02-07,26.549999,27.270000,23.090000,24.530001,24.530001,59207800
2023-02-08,24.680000,28.400000,24.500000,26.190001,26.190001,50828900
2023-02-09,27.459999,27.500000,22.340000,22.490000,22.490000,37021200
2023-02-10,22.309999,23.589001,21.559999,22.990000,22.990000,24349800
2023-02-13,22.930000,22.980000,20.719999,21.139999,21.139999,22434800
2023-02-14,20.660000,23.559999,20.410000,23.309999,23.309999,28135400
2023-02-15,23.000000,25.700001,22.840000,25.500000,25.500000,26296700
2023-02-16,25.040001,26.770000,24.049999,24.230000,24.230000,22603000
2023-02-17,23.570000,24.370001,22.650000,23.840000,23.840000,16132200
2023-02-21,24.040001,25.360001,21.415001,21.629999,21.629999,22200700
2023-02-22,21.610001,22.860001,21.299999,22.360001,22.360001,14517100
2023-02-23,23.670000,23.760000,21.770000,22.870001,22.870001,18690300
2023-02-24,22.230000,22.650000,21.680000,22.410000,22.410000,9800900
2023-02-27,22.520000,22.830000,21.645000,22.190001,22.190001,11575300
2023-02-28,22.309999,23.559999,22.059999,22.580000,22.580000,14568500
2023-03-01,22.790001,22.900000,20.309999,20.730000,20.730000,14634400
2023-03-02,20.520000,21.830000,20.330000,21.309999,21.309999,19332000
2023-03-03,25.290001,28.940001,24.030001,28.480000,28.480000,75575200
2023-03-06,28.450001,29.980000,26.709999,27.360001,27.360001,50682900
2023-03-07,27.170000,28.370001,25.770000,26.139999,26.139999,26616100
2023-03-08,26.129999,26.610001,24.600000,24.820000,24.820000,16689800
2023-03-09,25.000000,25.370001,22.620001,22.700001,22.700001,17554800
2023-03-10,22.590000,22.870001,20.761999,21.270000,21.270000,15945600
2023-03-13,21.000000,22.559999,20.280001,21.760000,21.760000,15398500
2023-03-14,22.350000,22.745001,20.740000,21.100000,21.100000,12555200
2023-03-15,20.600000,21.160000,20.160000,20.850000,20.850000,9062000
2023-03-16,21.180000,22.238001,20.535000,22.070000,22.070000,9980800
2023-03-17,22.260000,22.320000,21.020000,21.620001,21.620001,8177700
2023-03-20,21.400000,22.200001,21.014999,21.580000,21.580000,6896400
2023-03-21,21.670000,23.545000,21.549999,23.290001,23.290001,11732500
2023-03-22,23.400000,24.209999,22.459999,22.750000,22.750000,13825600
