Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,9.720000,10.880000,9.480000,10.850000,10.850000,85277300
2022-06-27,10.730000,10.810000,10.180000,10.550000,10.550000,52876800
2022-06-28,10.490000,11.050000,10.310000,10.330000,10.330000,46295200
2022-06-29,9.490000,9.600000,8.660000,8.870000,8.870000,109730900
2022-06-30,8.660000,8.810000,8.100000,8.650000,8.650000,74706500
2022-07-01,8.610000,8.970000,8.530000,8.820000,8.820000,51985500
2022-07-05,8.540000,9.410000,8.150000,9.380000,9.380000,69309900
2022-07-06,9.250000,9.530000,8.700000,8.740000,8.740000,52642200
2022-07-07,8.950000,9.450000,8.930000,9.330000,9.330000,46116100
2022-07-08,9.210000,9.430000,8.940000,9.010000,9.010000,45688300
2022-07-11,8.960000,8.970000,8.460000,8.490000,8.490000,40155700
2022-07-12,8.480000,9.270000,8.430000,9.130000,9.130000,65626100
2022-07-13,8.730000,9.130000,8.650000,9.000000,9.000000,41433700
2022-07-14,8.820000,9.000000,8.650000,8.710000,8.710000,40652900
2022-07-15,8.880000,9.190000,8.710000,9.180000,9.180000,44346700
2022-07-18,9.430000,10.120000,9.430000,9.650000,9.650000,66343700
2022-07-19,10.020000,10.410000,9.990000,10.360000,10.360000,60355900
2022-07-20,10.340000,11.100000,10.280000,11.090000,11.090000,69920800
2022-07-21,9.670000,9.900000,9.420000,9.850000,9.850000,144225000
2022-07-22,9.900000,9.990000,9.150000,9.260000,9.260000,100507900
2022-07-25,9.260000,9.290000,8.840000,9.180000,9.180000,54848200
2022-07-26,9.070000,9.100000,8.460000,8.500000,8.500000,68820200
2022-07-27,8.790000,8.890000,8.470000,8.850000,8.850000,66105600
2022-07-28,8.970000,9.380000,8.570000,9.100000,9.100000,58406700
2022-07-29,9.010000,9.180000,8.770000,9.060000,9.060000,40901800
2022-08-01,8.900000,8.980000,8.570000,8.920000,8.920000,54740900
2022-08-02,8.770000,9.640000,8.670000,9.350000,9.350000,56616000
2022-08-03,9.500000,9.810000,9.470000,9.790000,9.790000,45506500
2022-08-04,9.770000,9.940000,9.600000,9.750000,9.750000,40094000
2022-08-05,9.530000,10.050000,9.480000,9.820000,9.820000,42444200
2022-08-08,10.040000,10.490000,9.780000,10.010000,10.010000,67345200
2022-08-09,9.710000,9.760000,9.260000,9.470000,9.470000,51552800
2022-08-10,9.890000,10.610000,9.820000,10.340000,10.340000,71504000
2022-08-11,10.840000,10.950000,10.440000,10.540000,10.540000,50079000
2022-08-12,10.710000,10.790000,10.450000,10.720000,10.720000,39632900
2022-08-15,10.560000,10.790000,10.420000,10.710000,10.710000,34057500
2022-08-16,10.630000,11.380000,10.410000,11.190000,11.190000,59639300
2022-08-17,10.970000,10.970000,10.400000,10.560000,10.560000,53063700
