Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,6.480000,6.550000,6.310000,6.320000,6.320000,11784700
2022-06-27,6.460000,6.770000,6.410000,6.650000,6.650000,8676100
2022-06-28,6.780000,6.930000,6.730000,6.910000,6.910000,9329000
2022-06-29,6.960000,7.010000,6.810000,7.000000,7.000000,13023700
2022-06-30,6.810000,6.910000,6.640000,6.730000,6.730000,12584700
2022-07-01,6.750000,6.810000,6.390000,6.640000,6.640000,7789900
2022-07-05,6.390000,6.520000,6.080000,6.140000,6.140000,14440900
2022-07-06,6.060000,6.200000,5.730000,6.070000,6.070000,16265100
2022-07-07,6.270000,6.410000,6.220000,6.300000,6.300000,8282700
2022-07-08,6.420000,6.420000,6.230000,6.360000,6.360000,5727700
2022-07-11,6.200000,6.300000,6.110000,6.170000,6.170000,4473800
2022-07-12,5.980000,6.070000,5.850000,5.890000,5.890000,5585100
2022-07-13,5.800000,6.000000,5.800000,5.820000,5.820000,3661900
2022-07-14,5.570000,5.640000,5.480000,5.620000,5.620000,5259700
2022-07-15,5.850000,5.940000,5.700000,5.940000,5.940000,5954200
2022-07-18,6.120000,6.220000,6.040000,6.130000,6.130000,4483700
2022-07-19,6.090000,6.450000,6.070000,6.430000,6.430000,5246100
2022-07-20,6.300000,6.370000,6.200000,6.330000,6.330000,6369700
2022-07-21,6.090000,6.220000,5.980000,6.120000,6.120000,5316900
2022-07-22,6.200000,6.290000,6.120000,6.220000,6.220000,8211500
2022-07-25,6.310000,6.480000,6.190000,6.480000,6.480000,4092300
2022-07-26,6.510000,6.630000,6.320000,6.370000,6.370000,3830500
2022-07-27,6.420000,6.690000,6.290000,6.660000,6.660000,5835800
2022-07-28,6.860000,7.370000,6.860000,7.330000,7.330000,8791100
2022-07-29,7.460000,8.110000,7.400000,8.090000,8.090000,14574000
2022-08-01,7.940000,8.180000,7.820000,8.100000,8.100000,10994300
2022-08-02,8.150000,8.370000,8.000000,8.250000,8.250000,11657900
2022-08-03,8.340000,8.380000,8.040000,8.200000,8.200000,8522600
2022-08-04,8.200000,8.230000,7.960000,7.970000,7.970000,8564000
2022-08-05,7.940000,8.440000,7.880000,8.310000,8.310000,7789800
2022-08-08,8.330000,8.410000,8.210000,8.290000,8.290000,5999200
2022-08-09,8.360000,8.490000,8.300000,8.340000,8.340000,6752800
2022-08-10,8.370000,8.600000,8.180000,8.510000,8.510000,6992600
2022-08-11,8.630000,8.910000,8.580000,8.760000,8.760000,7218900
2022-08-12,8.720000,9.100000,8.670000,9.080000,9.080000,6422100
2022-08-15,8.740000,8.810000,8.600000,8.690000,8.690000,5843500
2022-08-16,8.810000,8.890000,8.310000,8.420000,8.420000,6508200
2022-08-17,8.390000,8.510000,8.290000,8.380000,8.380000,5348600
2022-08-18,8.450000,8.610000,8.450000,8.510000,8.510000,5889000
2022-08-19,8.430000,8.550000,8.350000,8.470000,8.470000,7347000
2022-08-22,8.300000,8.330000,8.030000,8.250000,8.250000,8807800
2022-08-23,8.420000,8.690000,8.410000,8.550000,8.550000,6965000
2022-08-24,8.560000,8.730000,8.530000,8.670000,8.670000,4923500
2022-08-25,8.720000,8.860000,8.650000,8.720000,8.720000,5841400
2022-08-26,8.640000,8.760000,8.410000,8.580000,8.580000,6009800
2022-08-29,8.550000,8.790000,8.480000,8.660000,8.660000,3204100
2022-08-30,8.500000,8.520000,8.250000,8.330000,8.330000,4399800
2022-08-31,8.150000,8.360000,8.050000,8.180000,8.180000,5206300
2022-09-01,8.040000,8.120000,7.880000,8.030000,8.030000,3500300
2022-09-02,8.300000,8.460000,8.210000,8.330000,8.330000,3654700
2022-09-06,8.400000,8.440000,8.150000,8.390000,8.390000,6424700
2022-09-07,8.140000,8.510000,8.030000,8.490000,8.490000,8765200
2022-09-08,8.530000,8.780000,8.520000,8.620000,8.620000,8896800
2022-09-09,8.790000,9.190000,8.790000,9.040000,9.040000,11602600
2022-09-12,9.100000,9.190000,8.900000,9.070000,9.070000,7663200
2022-09-13,8.870000,9.130000,8.680000,8.820000,8.820000,7350600
2022-09-14,8.900000,9.270000,8.900000,9.230000,9.230000,9680300
2022-09-15,9.090000,9.390000,8.950000,9.280000,9.280000,10062300
2022-09-16,9.120000,9.180000,8.800000,9.040000,9.040000,19102000
2022-09-19,8.760000,9.320000,8.690000,9.320000,9.320000,11653200
2022-09-20,9.210000,9.240000,8.890000,9.160000,9.160000,7833800
2022-09-21,9.380000,9.490000,9.030000,9.040000,9.040000,6882900
2022-09-22,9.220000,9.330000,8.930000,8.960000,8.960000,7289300
2022-09-23,8.570000,8.620000,8.200000,8.350000,8.350000,12645400
2022-09-26,8.320000,8.500000,8.030000,8.060000,8.060000,9074000
2022-09-27,8.250000,8.560000,8.170000,8.430000,8.430000,9619600
2022-09-28,8.450000,8.610000,8.380000,8.480000,8.480000,10883500
2022-09-29,8.350000,8.480000,8.070000,8.430000,8.430000,7593600
2022-09-30,8.370000,8.680000,8.280000,8.460000,8.460000,5259700
2022-10-03,8.770000,8.950000,8.730000,8.930000,8.930000,8053700
2022-10-04,9.050000,9.230000,9.020000,9.090000,9.090000,8088700
2022-10-05,9.030000,9.280000,8.930000,9.260000,9.260000,7004300
2022-10-06,9.410000,9.740000,9.370000,9.670000,9.670000,8681000
2022-10-07,9.700000,9.730000,9.350000,9.420000,9.420000,8483800
2022-10-10,9.420000,9.460000,9.040000,9.200000,9.200000,4935500
2022-10-11,9.050000,9.450000,8.940000,9.330000,9.330000,8478400
2022-10-12,9.260000,9.320000,8.980000,9.250000,9.250000,5668300
2022-10-13,9.150000,9.930000,9.150000,9.890000,9.890000,11006500
2022-10-14,9.770000,9.960000,9.340000,9.360000,9.360000,8473400
2022-10-17,9.620000,9.750000,9.390000,9.460000,9.460000,4863200
2022-10-18,9.660000,9.780000,9.310000,9.500000,9.500000,8607900
2022-10-19,9.550000,9.960000,9.460000,9.930000,9.930000,8784000
2022-10-20,10.000000,10.440000,9.980000,10.370000,10.370000,10948900
2022-10-21,10.430000,10.880000,10.300000,10.800000,10.800000,14034000
2022-10-24,10.730000,10.770000,10.540000,10.610000,10.610000,9483100
2022-10-25,10.740000,10.950000,10.510000,10.680000,10.680000,6958300
2022-10-26,10.800000,11.140000,10.760000,10.920000,10.920000,6870100
2022-10-27,10.660000,10.790000,10.220000,10.410000,10.410000,11056900
2022-10-28,10.600000,10.650000,10.060000,10.180000,10.180000,6995600
2022-10-31,10.100000,10.820000,10.100000,10.590000,10.590000,9855900
2022-11-01,10.770000,10.930000,10.640000,10.680000,10.680000,10217800
2022-11-02,10.540000,10.920000,10.500000,10.510000,10.510000,10083300
2022-11-03,10.480000,11.540000,10.380000,11.440000,11.440000,12558600
2022-11-04,11.750000,11.920000,11.500000,11.660000,11.660000,10226500
2022-11-07,11.730000,12.360000,11.680000,12.150000,12.150000,10763000
2022-11-08,12.110000,12.220000,11.950000,12.210000,12.210000,6970200
2022-11-09,12.050000,12.120000,11.460000,11.540000,11.540000,10031200
2022-11-10,11.780000,11.900000,11.310000,11.630000,11.630000,8602200
2022-11-11,11.810000,11.870000,11.530000,11.820000,11.820000,7837900
2022-11-14,11.780000,11.850000,11.510000,11.700000,11.700000,8949700
2022-11-15,11.870000,12.350000,11.690000,12.350000,12.350000,9556200
2022-11-16,12.230000,12.420000,12.130000,12.330000,12.330000,6798900
2022-11-17,12.080000,12.390000,11.980000,12.390000,12.390000,5199600
2022-11-18,12.100000,12.190000,11.840000,11.960000,11.960000,15631900
