Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,7.170000,7.760000,7.120000,7.420000,7.420000,13665900
2022-06-27,7.480000,7.500000,6.810000,6.850000,6.850000,9098200
2022-06-28,6.950000,7.150000,6.320000,6.430000,6.430000,10430900
2022-06-29,6.250000,6.270000,5.650000,5.800000,5.800000,12163900
2022-06-30,5.530000,5.770000,5.270000,5.340000,5.340000,10706100
2022-07-01,5.410000,5.700000,5.280000,5.540000,5.540000,11547900
2022-07-05,5.400000,6.080000,5.200000,6.070000,6.070000,12317300
2022-07-06,5.940000,6.070000,5.610000,5.650000,5.650000,11174600
2022-07-07,5.770000,7.090000,5.710000,7.010000,7.010000,20439600
2022-07-08,6.650000,8.900000,6.600000,8.510000,8.510000,49125100
2022-07-11,7.900000,8.290000,7.670000,7.810000,7.810000,14270700
2022-07-12,7.750000,7.990000,7.360000,7.670000,7.670000,10812500
2022-07-13,7.500000,7.900000,7.050000,7.760000,7.760000,12906700
2022-07-14,7.590000,8.100000,7.260000,8.000000,8.000000,15079800
2022-07-15,8.260000,8.560000,7.670000,8.040000,8.040000,13282100
2022-07-18,8.830000,10.970000,8.700000,9.760000,9.760000,43749500
2022-07-19,10.370000,13.000000,9.850000,12.900000,12.900000,58076500
2022-07-20,13.550000,14.200000,11.860000,12.470000,12.470000,70804300
2022-07-21,11.760000,13.510000,11.670000,13.490000,13.490000,31470900
2022-07-22,13.890000,13.920000,12.060000,12.420000,12.420000,29213400
2022-07-25,11.700000,12.480000,11.510000,11.570000,11.570000,16546800
2022-07-26,11.190000,11.290000,10.080000,10.110000,10.110000,13455500
2022-07-27,10.870000,12.650000,10.580000,12.320000,12.320000,31321000
2022-07-28,12.320000,13.720000,11.840000,13.200000,13.200000,36781000
2022-07-29,12.820000,14.170000,12.580000,12.990000,12.990000,31918900
2022-08-01,12.500000,13.190000,11.830000,12.270000,12.270000,20688000
2022-08-02,11.900000,13.640000,11.810000,12.960000,12.960000,23868600
2022-08-03,13.170000,13.770000,12.930000,13.280000,13.280000,24463900
2022-08-04,13.500000,15.030000,13.300000,13.420000,13.420000,27091800
2022-08-05,13.230000,14.390000,13.130000,14.170000,14.170000,17207100
2022-08-08,15.280000,15.780000,14.250000,14.430000,14.430000,19936600
2022-08-09,14.010000,14.950000,13.340000,14.110000,14.110000,16261100
2022-08-10,15.360000,16.990000,14.660000,16.360001,16.360001,32584700
2022-08-11,17.719999,18.879999,16.809999,17.190001,17.190001,29953900
2022-08-12,17.250000,18.299999,16.389999,18.240000,18.240000,17649100
2022-08-15,17.980000,18.469999,17.379999,17.650000,17.650000,14104800
2022-08-16,17.549999,17.809999,16.270000,16.879999,16.879999,17057400
2022-08-17,16.299999,16.670000,15.300000,15.450000,15.450000,17188500
2022-08-18,15.750000,15.820000,15.050000,15.590000,15.590000,10602400
2022-08-19,13.880000,14.360000,13.050000,13.180000,13.180000,16042600
2022-08-22,12.620000,13.470000,12.530000,12.930000,12.930000,11300100
2022-08-23,13.190000,14.380000,13.030000,13.710000,13.710000,15897400
2022-08-24,13.580000,14.350000,13.410000,13.780000,13.780000,12283100
2022-08-25,13.830000,14.240000,12.590000,12.880000,12.880000,17280700
2022-08-26,13.210000,13.280000,11.250000,11.350000,11.350000,20712100
