Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,5.010000,5.405000,4.990000,5.190000,5.190000,16972500
2022-06-27,5.180000,5.220000,4.670000,4.890000,4.890000,11651700
2022-06-28,5.020000,5.110000,4.690000,4.760000,4.760000,9706600
2022-06-29,4.670000,4.690000,4.340000,4.500000,4.500000,11364700
2022-06-30,4.340000,4.400000,4.120000,4.190000,4.190000,10723300
2022-07-01,4.240000,4.380000,4.130000,4.240000,4.240000,8415200
2022-07-05,4.130000,4.750000,4.020000,4.730000,4.730000,13145700
2022-07-06,4.665000,4.760000,4.465000,4.530000,4.530000,8250700
2022-07-07,4.600000,5.290000,4.570000,5.280000,5.280000,18884700
2022-07-08,5.120000,5.810000,4.950000,5.460000,5.460000,28861700
2022-07-11,5.040000,5.230000,4.822000,4.870000,4.870000,12524800
2022-07-12,4.820000,4.990000,4.680000,4.840000,4.840000,8420600
2022-07-13,4.680000,5.030000,4.520000,4.930000,4.930000,10878600
2022-07-14,4.860000,5.330000,4.710000,5.320000,5.320000,13267900
2022-07-15,5.470000,5.695000,5.350000,5.570000,5.570000,13391900
2022-07-18,5.940000,6.880000,5.920000,6.230000,6.230000,39477400
2022-07-19,6.600000,7.050000,6.330000,6.980000,6.980000,35761600
2022-07-20,7.240000,7.480000,6.810000,7.020000,7.020000,45561800
2022-07-21,6.780000,7.639000,6.700000,7.620000,7.620000,27389100
2022-07-22,7.870000,7.930000,7.060000,7.120000,7.120000,18291900
2022-07-25,6.840000,7.060000,6.570000,6.650000,6.650000,13600600
2022-07-26,6.350000,6.510000,6.020000,6.210000,6.210000,11404100
2022-07-27,6.540000,7.330000,6.261000,7.150000,7.150000,18717900
2022-07-28,7.170000,7.600000,6.910000,7.400000,7.400000,19581000
2022-07-29,7.240000,7.743000,7.080000,7.320000,7.320000,14528900
2022-08-01,7.130000,7.550000,6.975000,7.330000,7.330000,13572100
2022-08-02,7.190000,8.096000,7.120000,7.750000,7.750000,16035900
2022-08-03,7.970000,8.400000,7.850000,8.120000,8.120000,19769600
2022-08-04,8.220000,8.830000,8.060000,8.180000,8.180000,20818500
2022-08-05,8.155000,8.670000,8.050000,8.270000,8.270000,14090300
2022-08-08,8.770000,9.110000,8.580000,8.710000,8.710000,16462200
