Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,5.880000,6.180000,5.790000,6.130000,6.130000,87590000
2022-06-27,6.100000,6.210000,5.850000,5.930000,5.930000,26805000
2022-06-28,5.930000,5.970000,5.500000,5.560000,5.560000,31351800
2022-06-29,5.520000,5.550000,5.340000,5.540000,5.540000,32700600
2022-06-30,5.430000,5.510000,5.230000,5.270000,5.270000,27760700
2022-07-01,5.260000,5.485000,5.170000,5.410000,5.410000,21703300
2022-07-05,5.330000,5.840000,5.140000,5.840000,5.840000,28258400
2022-07-06,5.800000,6.100000,5.780000,5.900000,5.900000,25041500
2022-07-07,5.900000,6.280000,5.850000,6.260000,6.260000,30799700
2022-07-08,6.000000,6.370000,5.930000,6.190000,6.190000,26898900
2022-07-11,6.035000,6.090000,5.820000,6.010000,6.010000,18679700
2022-07-12,6.020000,6.230000,5.900000,6.040000,6.040000,18008300
2022-07-13,5.850000,6.060000,5.750000,5.950000,5.950000,25769500
2022-07-14,5.880000,5.970000,5.760000,5.910000,5.910000,17285100
2022-07-15,6.040000,6.300000,5.930000,6.290000,6.290000,22335800
2022-07-18,6.330000,6.595000,6.310000,6.350000,6.350000,20005800
2022-07-19,6.480000,6.630000,6.270000,6.620000,6.620000,21273600
2022-07-20,6.690000,7.080000,6.660000,6.970000,6.970000,24765700
2022-07-21,6.975000,7.150000,6.900000,7.040000,7.040000,19858400
2022-07-22,7.050000,7.060000,6.520000,6.620000,6.620000,21258200
2022-07-25,6.570000,6.610000,6.370000,6.460000,6.460000,14153800
2022-07-26,6.370000,6.370000,6.120000,6.140000,6.140000,16325700
2022-07-27,6.250000,6.470000,6.190000,6.440000,6.440000,17437400
2022-07-28,6.450000,6.560000,6.090000,6.300000,6.300000,21965900
2022-07-29,6.270000,6.370000,6.150000,6.310000,6.310000,19058700
2022-08-01,6.270000,6.410000,6.140000,6.360000,6.360000,21109900
2022-08-02,6.340000,6.630000,6.310000,6.410000,6.410000,49460900
2022-08-03,7.280000,8.420000,7.050000,8.230000,8.230000,147719800
2022-08-04,8.170000,8.520000,7.860000,8.230000,8.230000,61791900
2022-08-05,8.020000,8.260000,7.820000,7.960000,7.960000,43574400
2022-08-08,8.140000,8.490000,7.880000,7.980000,7.980000,56810700
2022-08-09,7.700000,7.760000,7.250000,7.390000,7.390000,50017000
2022-08-10,7.780000,7.950000,7.510000,7.810000,7.810000,51807800
2022-08-11,8.080000,8.140000,7.365000,7.420000,7.420000,65326100
2022-08-12,7.530000,7.700000,7.300000,7.650000,7.650000,35779800
2022-08-15,7.570000,7.700000,7.390000,7.620000,7.620000,38003000
2022-08-16,7.500000,7.809000,7.190000,7.580000,7.580000,56783500
2022-08-17,7.430000,7.450000,6.820000,6.880000,6.880000,75554900
2022-08-18,6.950000,6.960000,6.620000,6.680000,6.680000,38842700
2022-08-19,6.520000,6.530000,6.270000,6.330000,6.330000,47048200
2022-08-22,6.150000,6.330000,6.010000,6.100000,6.100000,41817600
2022-08-23,6.150000,6.250000,6.010000,6.170000,6.170000,55901700
2022-08-24,6.695000,6.870000,6.370000,6.450000,6.450000,114014000
2022-08-25,6.630000,6.720000,6.390000,6.690000,6.690000,53630800
2022-08-26,6.860000,6.890000,6.120000,6.180000,6.180000,74661000
2022-08-29,6.090000,6.226000,5.970000,6.000000,6.000000,55367700
2022-08-30,6.080000,6.130000,5.810000,5.910000,5.910000,38113900
2022-08-31,5.970000,6.080000,5.870000,5.920000,5.920000,32515900
2022-09-01,5.815000,5.860000,5.610000,5.850000,5.850000,34316400
2022-09-02,5.990000,6.000000,5.700000,5.740000,5.740000,29739700
2022-09-06,5.750000,5.790000,5.570000,5.650000,5.650000,28734800
2022-09-07,5.600000,5.850000,5.570000,5.820000,5.820000,25290200
2022-09-08,5.690000,6.190000,5.680000,6.190000,6.190000,38945300
2022-09-09,6.230000,6.340000,6.170000,6.330000,6.330000,30872900
2022-09-12,6.350000,6.490000,6.290000,6.410000,6.410000,28634000
2022-09-13,6.020000,6.140000,5.790000,5.840000,5.840000,44931900
2022-09-14,6.060000,6.190000,5.900000,6.170000,6.170000,62819300
2022-09-15,6.130000,6.650000,6.100000,6.410000,6.410000,58733500
2022-09-16,6.235000,6.270000,6.010000,6.050000,6.050000,44028900
2022-09-19,5.950000,6.100000,5.890000,6.080000,6.080000,30714100
2022-09-20,6.000000,6.120000,5.880000,5.890000,5.890000,27278200
2022-09-21,5.890000,6.040000,5.690000,5.690000,5.690000,36073900
2022-09-22,5.720000,5.790000,5.360000,5.360000,5.360000,41535300
2022-09-23,5.260000,5.370000,5.160000,5.310000,5.310000,40071900
2022-09-26,5.300000,5.510000,5.080000,5.080000,5.080000,65463200
2022-09-27,5.230000,5.330000,5.000000,5.080000,5.080000,35622200
2022-09-28,5.080000,5.280000,5.040000,5.250000,5.250000,29843200
2022-09-29,5.120000,5.160000,4.790000,4.840000,4.840000,56776400
2022-09-30,4.820000,5.090000,4.810000,4.880000,4.880000,33884400
2022-10-03,4.940000,5.220000,4.810000,5.130000,5.130000,33619400
2022-10-04,5.265000,5.460000,5.250000,5.400000,5.400000,37930500
2022-10-05,5.270000,5.320000,5.070000,5.280000,5.280000,36209300
2022-10-06,5.270000,5.470000,5.170000,5.290000,5.290000,28449200
2022-10-07,5.130000,5.150000,4.960000,5.010000,5.010000,27856200
2022-10-10,5.010000,5.035000,4.910000,4.970000,4.970000,22211500
2022-10-11,4.950000,5.170000,4.770000,5.000000,5.000000,35828900
2022-10-12,4.980000,5.120000,4.880000,5.080000,5.080000,26339800
2022-10-13,4.890000,5.220000,4.840000,5.090000,5.090000,32629000
2022-10-14,5.190000,5.280000,4.810000,4.810000,4.810000,35776200
2022-10-17,4.950000,5.100000,4.850000,5.070000,5.070000,33347900
2022-10-18,5.250000,5.350000,5.150000,5.250000,5.250000,37401900
2022-10-19,5.210000,5.220000,4.970000,4.990000,4.990000,35412300
