Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,6.570000,7.040000,6.500000,7.010000,7.010000,151737600
2022-06-27,7.040000,7.350000,6.860000,7.200000,7.200000,54790400
2022-06-28,7.380000,7.490000,7.110000,7.370000,7.370000,47834500
2022-06-29,7.330000,7.400000,6.650000,6.710000,6.710000,66227200
2022-06-30,6.530000,6.660000,6.120000,6.250000,6.250000,63826300
2022-07-01,6.360000,6.450000,6.160000,6.340000,6.340000,40709500
2022-07-05,6.200000,6.250000,5.730000,5.920000,5.920000,286592500
2022-07-06,5.940000,6.080000,5.670000,5.860000,5.860000,57666800
2022-07-07,6.050000,6.300000,6.040000,6.260000,6.260000,47565600
2022-07-08,6.270000,6.370000,6.050000,6.090000,6.090000,25523300
2022-07-11,6.280000,6.400000,5.950000,6.030000,6.030000,37154300
2022-07-12,5.810000,6.060000,5.760000,5.840000,5.840000,24881300
2022-07-13,5.760000,6.100000,5.760000,5.920000,5.920000,35896700
2022-07-14,5.660000,5.800000,5.460000,5.610000,5.610000,33832900
2022-07-15,5.700000,5.780000,5.530000,5.760000,5.760000,26952400
2022-07-18,5.920000,6.200000,5.900000,6.060000,6.060000,29225800
2022-07-19,6.100000,6.430000,6.070000,6.410000,6.410000,30523300
2022-07-20,6.350000,6.790000,6.310000,6.760000,6.760000,25073400
2022-07-21,6.640000,6.710000,6.460000,6.670000,6.670000,29810100
2022-07-22,6.770000,6.840000,6.540000,6.550000,6.550000,17077300
2022-07-25,6.690000,7.200000,6.570000,7.190000,7.190000,26926000
2022-07-26,7.410000,7.520000,7.180000,7.280000,7.280000,34774100
2022-07-27,7.250000,7.380000,7.110000,7.330000,7.330000,21896800
2022-07-28,7.330000,7.390000,6.840000,6.970000,6.970000,26905400
2022-07-29,7.130000,7.190000,6.940000,7.060000,7.060000,22612000
2022-08-01,6.860000,6.950000,6.670000,6.920000,6.920000,27013700
2022-08-02,6.850000,6.920000,6.590000,6.770000,6.770000,22735000
2022-08-03,6.840000,6.840000,6.400000,6.680000,6.680000,35934900
2022-08-04,6.630000,6.740000,6.450000,6.490000,6.490000,43466700
2022-08-05,6.400000,7.080000,6.380000,6.830000,6.830000,33279500
2022-08-08,6.830000,6.900000,6.530000,6.540000,6.540000,22524100
2022-08-09,6.680000,6.920000,6.660000,6.770000,6.770000,29887600
2022-08-10,6.740000,6.950000,6.590000,6.930000,6.930000,29711800
2022-08-11,7.150000,7.590000,7.060000,7.490000,7.490000,36176700
2022-08-12,7.470000,7.520000,7.300000,7.510000,7.510000,21831800
2022-08-15,7.180000,7.300000,6.890000,7.240000,7.240000,21373000
2022-08-16,7.590000,7.750000,7.320000,7.500000,7.500000,27667100
2022-08-17,7.550000,7.690000,7.240000,7.410000,7.410000,27033800
2022-08-18,7.500000,7.680000,7.420000,7.590000,7.590000,20793800
2022-08-19,7.520000,7.580000,7.400000,7.440000,7.440000,30784200
2022-08-22,7.540000,8.130000,7.480000,8.080000,8.080000,38338200
2022-08-23,8.210000,8.390000,7.640000,7.750000,7.750000,56030300
2022-08-24,7.750000,7.830000,7.600000,7.810000,7.810000,31713400
2022-08-25,7.810000,7.860000,7.510000,7.740000,7.740000,23377500
2022-08-26,7.800000,8.000000,7.640000,7.640000,7.640000,28205400
2022-08-29,7.550000,7.800000,7.500000,7.530000,7.530000,37443700
2022-08-30,7.330000,7.340000,6.880000,7.100000,7.100000,53096400
2022-08-31,6.910000,7.580000,6.880000,7.490000,7.490000,38590100
2022-09-01,7.380000,7.600000,7.230000,7.230000,7.230000,37103200
2022-09-02,7.450000,7.530000,7.180000,7.380000,7.380000,29325900
2022-09-06,7.430000,7.560000,7.220000,7.230000,7.230000,36067300
2022-09-07,7.050000,7.210000,6.940000,7.170000,7.170000,41911800
2022-09-08,7.200000,7.340000,7.040000,7.300000,7.300000,39147800
2022-09-09,7.480000,7.700000,7.410000,7.650000,7.650000,18443300
2022-09-12,7.720000,7.750000,7.550000,7.730000,7.730000,35188900
2022-09-13,7.590000,7.740000,7.530000,7.690000,7.690000,35130500
2022-09-14,7.940000,8.280000,7.760000,8.060000,8.060000,48291700
2022-09-15,7.810000,7.880000,7.610000,7.650000,7.650000,28904300
2022-09-16,7.590000,7.610000,7.030000,7.210000,7.210000,50449100
2022-09-19,7.000000,7.280000,6.980000,7.250000,7.250000,28327600
2022-09-20,7.200000,7.290000,7.080000,7.220000,7.220000,23164300
2022-09-21,7.440000,7.450000,6.990000,7.000000,7.000000,28462900
2022-09-22,7.120000,7.290000,6.760000,6.780000,6.780000,24550100
2022-09-23,6.440000,6.460000,6.110000,6.280000,6.280000,38618200
2022-09-26,6.270000,6.290000,5.970000,6.010000,6.010000,30689600
2022-09-27,6.120000,6.270000,5.970000,6.050000,6.050000,36381200
2022-09-28,6.060000,6.380000,5.960000,6.330000,6.330000,27745300
2022-09-29,6.190000,6.240000,5.870000,6.100000,6.100000,35293800
2022-09-30,5.970000,6.260000,5.960000,6.120000,6.120000,30628900
2022-10-03,6.250000,6.600000,6.250000,6.550000,6.550000,45017800
2022-10-04,6.700000,7.100000,6.610000,7.080000,7.080000,48087000
2022-10-05,7.100000,7.340000,6.800000,7.250000,7.250000,33467900
2022-10-06,7.190000,7.330000,6.930000,6.950000,6.950000,27081500
2022-10-07,6.890000,7.060000,6.750000,6.780000,6.780000,27645100
2022-10-10,6.880000,7.040000,6.650000,6.740000,6.740000,24751700
2022-10-11,6.610000,6.850000,6.570000,6.700000,6.700000,23489800
2022-10-12,6.680000,6.800000,6.530000,6.730000,6.730000,20236900
2022-10-13,6.580000,6.990000,6.560000,6.950000,6.950000,23342700
